编号,章节,严重度,坏样本,好样本,子维度,修复方向,源RCA
AV-062,10,critical,有一位姓某的。我多问一句，叫……某。,改写为：‘那边最近确实多了一两个外面来的——有一位，姓我先不跟你点。我多问一句——这名字你别让我嘴里报。’或：‘有一位，姓我现在不方便念出来。’紧接陆沉‘听出来了’的内心戏即可。务必把‘某’这个占位字从对白中清除——它一旦保留就把整段电话戏的真实感全部撕掉。,vocab,改写为：‘那边最近确实多了一两个外面来的——有一位，姓我先不跟你点。我多问一句——这名字你别让我嘴里报。’或：‘有一位，姓我现在不方便念出来。’紧接陆沉‘听出来了’的内心戏即可。务必把‘某’这个占位字从对白中清除——它一旦保留就把整段电话戏,
AV-063,10,critical,陆沉的购物车把手在他掌心里一空。,改成‘陆沉握着购物车把手的手指松了一下’或‘陆沉心口一空，手还搭在购物车把手上’。要不就拆成两句：‘他攥着把手的手指松了。心里一空。’把‘空’的主语还给‘心’或‘人’。,syntax,改成‘陆沉握着购物车把手的手指松了一下’或‘陆沉心口一空，手还搭在购物车把手上’。要不就拆成两句：‘他攥着把手的手指松了。心里一空。’把‘空’的主语还给‘心’或‘人’。,
AV-064,10,high,从胸口的工服兜里摸出一把折叠匕首样的小刀，拿匕首背在凳沿磕了两下,统一称谓且去病句：‘从胸口的工服兜里摸出一把折叠小刀，刀背在凳沿磕了两下，又把刀收回去。’既贴合汽修工日常工具，也消除‘匕首样’这种武侠化错配。,syntax,统一称谓且去病句：‘从胸口的工服兜里摸出一把折叠小刀，刀背在凳沿磕了两下，又把刀收回去。’既贴合汽修工日常工具，也消除‘匕首样’这种武侠化错配。,
AV-065,10,high,陆沉短了一句,改为‘陆沉把话切短’‘陆沉只丢了一句’‘陆沉答得短’，三选一即可。,vocab,改为‘陆沉把话切短’‘陆沉只丢了一句’‘陆沉答得短’，三选一即可。,
AV-066,10,high,嗯呐。,把所有‘嗯呐’改成‘嗯诶’或‘哎’；‘哎’最稳，跨方言不出戏。,vocab,把所有‘嗯呐’改成‘嗯诶’或‘哎’；‘哎’最稳，跨方言不出戏。,
AV-067,10,high,昨儿你说今天来。,改为‘昨天你说今天来’或‘昨儿个你说今天来’；前者最稳，后者保留口语颗粒感。,vocab,改为‘昨天你说今天来’或‘昨儿个你说今天来’；前者最稳，后者保留口语颗粒感。,
AV-068,10,high,稳着的时候颜色和心跳同节奏，节奏不快，他自己也是。,改写为‘印记稳的时候颜色发暗，跳得跟心一个频率，不急。他自己也不急。’让‘也是’有明确接续对象（‘不急’对‘不急’）。,vocab,改写为‘印记稳的时候颜色发暗，跳得跟心一个频率，不急。他自己也不急。’让‘也是’有明确接续对象（‘不急’对‘不急’）。,
AV-069,10,high,桃源空间——那块他重生当天就激活的隐居地，一亩三分加一口灵泉，进出靠掌心印记，里头时间比外面慢五倍——他今天不进。,全删这一整段嵌入。改成单句：‘桃源空间今天不进。’设定让前面九章和后面情节自然兜出来，不要在第十章用破折号补课。,syntax,全删这一整段嵌入。改成单句：‘桃源空间今天不进。’设定让前面九章和后面情节自然兜出来，不要在第十章用破折号补课。,
AV-070,10,high,一秒空白。,把‘一秒/两秒/三秒’三个倒计时锚点全删，让陆沉的应激反应靠动作和身体细节自己往下走：‘他没动，太阳穴跳了两跳。喉头滚了一下。然后推空购物车出去，坐回车里关上门，阳光晃眼。’一气呵成，不要给秒针打节拍。,emotion,把‘一秒/两秒/三秒’三个倒计时锚点全删，让陆沉的应激反应靠动作和身体细节自己往下走：‘他没动，太阳穴跳了两跳。喉头滚了一下。然后推空购物车出去，坐回车里关上门，阳光晃眼。’一气呵成，不要给秒针打节拍。,
AV-071,10,medium,陆沉先接到的是手温,至少打破一个递进。如：‘搪瓷缸递过来，外公那只手抖了一下，先是热，再是陈皮的微涩，最后凉边碰到下唇。’把‘再然后’这种 AI 连接词去掉，让节奏不那么对仗。,vocab,至少打破一个递进。如：‘搪瓷缸递过来，外公那只手抖了一下，先是热，再是陈皮的微涩，最后凉边碰到下唇。’把‘再然后’这种 AI 连接词去掉，让节奏不那么对仗。,
AV-072,10,medium,碗壁的余温从掌心退到指根，再退到瓷沿，最后只剩一点钝凉。,改为‘碗壁的余温从瓷沿一路退到他指根，最后只剩一点凉。’删‘钝凉’这种赘饰。,vocab,改为‘碗壁的余温从瓷沿一路退到他指根，最后只剩一点凉。’删‘钝凉’这种赘饰。,
AV-073,10,medium,一只肥黄狗趴在油桶后边喉咙里翻了一下,改为‘一只肥黄狗趴在油桶后边，嗓子里哼了一声。’,vocab,改为‘一只肥黄狗趴在油桶后边，嗓子里哼了一声。’,
AV-074,10,medium,得味，正好赶上你吃饭前。,把‘得味’让给老张说更真。陆沉这一句改成普通话‘正好，赶上你吃饭前’；让老张随后回‘得味，得味，坐。’更顺。,vocab,把‘得味’让给老张说更真。陆沉这一句改成普通话‘正好，赶上你吃饭前’；让老张随后回‘得味，得味，坐。’更顺。,
AV-075,10,medium,三个字，张大山，写完最后一笔的时候笔尖在纸上又顿了一顿。,改为‘老张写得慢，一笔一画地写完“张大山”三个字，写完笔尖还在纸上停了一下。’把‘三个字+名字+动作’的节拍打散。,vocab,改为‘老张写得慢，一笔一画地写完“张大山”三个字，写完笔尖还在纸上停了一下。’把‘三个字+名字+动作’的节拍打散。,
AV-076,10,medium,三十秒，膝盖以上了。,改为‘三十秒，已经过膝。’或‘三十秒，长到大腿根。’至少补一个动词，让句子站住。,vocab,改为‘三十秒，已经过膝。’或‘三十秒，长到大腿根。’至少补一个动词，让句子站住。,
AV-077,10,low,旧纸第一角他用拇指掀起半厘米。,把‘横，竖，撇——’这三字省略与‘戛然而止。’独立段至少删掉一处。比如把‘横，竖，撇——他伸手过去’合并成‘他看见第一个字的起笔已经露出来，伸手过去。’留一个悬念点就够，不要叠三层。,vocab,把‘横，竖，撇——’这三字省略与‘戛然而止。’独立段至少删掉一处。比如把‘横，竖，撇——他伸手过去’合并成‘他看见第一个字的起笔已经露出来，伸手过去。’留一个悬念点就够，不要叠三层。,
AV-078,10,low,紧跟着是一声压低的——,至少把其中两处的破折号断句改成普通衔接：‘电话那头咳了一声，紧跟着压低声音叫了他——“沉子？”’让节奏起伏不那么单一。,syntax,至少把其中两处的破折号断句改成普通衔接：‘电话那头咳了一声，紧跟着压低声音叫了他——“沉子？”’让节奏起伏不那么单一。,
AV-079,10,low,他在心里默念了一句：去看一眼。,至少把其中一处去掉‘默念’这个动词，直接让那句话浮在叙述里：‘——去看一眼。’单独一行更干净。,vocab,至少把其中一处去掉‘默念’这个动词，直接让那句话浮在叙述里：‘——去看一眼。’单独一行更干净。,
AV-080,10,low,他不让自己再去想夜里那半句压下来的话。,把其中两处换成‘他不去想’‘他没让目光停在那个字上’‘他把那一行字按回去’，分散句型。,syntax,把其中两处换成‘他不去想’‘他没让目光停在那个字上’‘他把那一行字按回去’，分散句型。,
AV-081,10,medium,外公又看了他一眼：”你最近气色不怎么行。”,把 L109 / L117 / L353 / L351 的开场 ” 改为 “。建议 polish 阶段顺手修掉，不影响文本自然度但属于排版硬伤。,vocab,把 L109 / L117 / L353 / L351 的开场 ” 改为 “。建议 polish 阶段顺手修掉，不影响文本自然度但属于排版硬伤。,
AV-082,10,low,老张那一双眼里的光稳了一稳。,若嫌文艺可改为'老张眼神定了一下'或'老张眼里那点光稳住了'。保留亦可——不构成扣分硬伤。,vocab,若嫌文艺可改为'老张眼神定了一下'或'老张眼里那点光稳住了'。保留亦可——不构成扣分硬伤。,
AV-083,10,low,身体里一股微酸的虚意从胸口一路退到指尖,改成'一股微酸的虚劲'或'身体里发虚，从胸口一路退到指尖'。不是critical，因为上下文把金手指代价写清楚了，读者能理解，但文学化痕迹略显。,vocab,改成'一股微酸的虚劲'或'身体里发虚，从胸口一路退到指尖'。不是critical，因为上下文把金手指代价写清楚了，读者能理解，但文学化痕迹略显。,
AV-084,10,low,抿过的，长得起来。,保留亦可（前九章已建立语义），或改'沾过灵泉的草，长得起来'更口语。风格问题，无需动。,vocab,保留亦可（前九章已建立语义），或改'沾过灵泉的草，长得起来'更口语。风格问题，无需动。,
AV-085,10,low,茶缸沿那一道是凉的。,可考虑拆散为两句，或把'最后是搪瓷缸沿那一道凉边碰到他下唇'的节奏再打乱一次。保留也行，因为感官递进本身真实——只是句式稍工整。polish 级建议。,vocab,可考虑拆散为两句，或把'最后是搪瓷缸沿那一道凉边碰到他下唇'的节奏再打乱一次。保留也行，因为感官递进本身真实——只是句式稍工整。polish 级建议。,
AV-086,10,low,一只肥黄狗趴在油桶后边喉咙里翻了一下“嗯”。,改'一只肥黄狗趴在油桶后边，喉咙里翻出一声嗯'或'喉咙里低低嗯了一下'。去掉内嵌引号读起来更顺。,narrative,改'一只肥黄狗趴在油桶后边，喉咙里翻出一声嗯'或'喉咙里低低嗯了一下'。去掉内嵌引号读起来更顺。,
AV-087,11,low,镜头停了三秒，白雾里的山形几乎只剩一道暗灰的剪影。,若再做一轮微抛光，可考虑把 L15'镜头停了三秒'改为'镜头在山形上停了一会儿'或'镜头里的山形停住'，把电视镜头描述与人物心理停顿的计量单位区分开，避免同 metric 复用。但当前不影响通过。,narrative,若再做一轮微抛光，可考虑把 L15'镜头停了三秒'改为'镜头在山形上停了一会儿'或'镜头里的山形停住'，把电视镜头描述与人物心理停顿的计量单位区分开，避免同 metric 复用。但当前不影响通过。,
AV-088,11,low,比早上那一下还安静，安静得像在等。,可保留，属作者风格底色；若极致追求'人写'感，可改为'比早上那一下还安静，像没东西要来'。但当前不算硬伤。,narrative,可保留，属作者风格底色；若极致追求'人写'感，可改为'比早上那一下还安静，像没东西要来'。但当前不算硬伤。,
AV-089,11,low,江淮腔的尾巴往下拖了一寸,可改为'声音比刚才慢半拍，尾音往下沉了一点'。当前不影响通过，仅为微调。,narrative,可改为'声音比刚才慢半拍，尾音往下沉了一点'。当前不影响通过，仅为微调。,
